Company,KBLI
GUNUNG TANGKUBAN PERAHU PERMAI,Not Found
HADE SUKSES SELARAS,Not Found
HAMPARAN MULYA,Not Found
HAMSINA JAYA,82920
HANDIRA EKA MANDIRI,Not Found
HANJUANG BERKAH SEJAHTERA,Not Found
HARAPAN INDAH BERSAMA ABADI,Not Found
HARIBARU GEMILANG,Not Found
HARIKA PRIMA SAKTI,Not Found
HARMONI DINAMIKA,Not Found
HASIL BUMI INDONESIA,Not Found
HASIL KARYA SEJAHTERA,Not Found
HASIL SEMPURNA,
HASSAN SINAR LESTARI,Not Found
HENKOS JAYA TEHNIK,Not Found
HENNY MAKMUR JAYA,Not Found
HENO SEJAHTERA BERSAMA,Not Found
HERBA PENAWAR AL WAHIDA INDONESIA,Not Found
HIJI LINTANG PURNAMA,37022
HIKMAH MUDYA,Not Found
HITACHI ASTEMO BEKASI POWERTRAIN SYSTEMS,29300
HOKKAN DELTAPACK INDUSTRI,22220
HON CHUAN INDONESIA,22220
HOWKI GONDANG PERKASA,Not Found
HURIP BINTANG PRATAMA,Not Found
HYUNDAI MOBIL INDONESIA,45201
IBRAHIM BERKAH SEJAHTERINDO,Not Found
IJO ROYO ROYO ASRI,Not Found
IK PRECISION INDONESIA,22293
INDO HUSADA UTAMA,Not Found
INDO KAYA ENERGI,Not Found
INDO LYSAGHT,20111
INDO MARTA PRIMA,Not Found
INDO MITRA PRATAMA,31001
INDO OTHAIM INTERNASIONAL,Not Found
INDOAUSTRA UTAMA,Not Found
INDOBIKE DUA ENAM,Not Found
INDOLAND TRADING INTERNATIONAL,Not Found
INDOMETAL BEKASI SARANA MAKMUR,Not Found
INDOMETAL MITRABUANA,25920
INDONESIA RAYA MAKMUR,25940
INDORAMA POLYCHEM INDONESIA,20301
INDORAMA SYNTHETICS TBK,Not Found
INDO-RAMA SYNTHETICS TBK,13112
INDORAYA NUSANTARA DJAYA,Not Found
INDOTAISEI INDAH DEVELOPMENT,Not Found
INDOTAMA FERRO ALLOYS,24202
INDOWIN ENGINEERING INDONESIA,Not Found
INDOWOOYANG,10399
INSANI MAJU BERDIKARI,Not Found
INTERFOOD SUKSES JASINDO,Not Found
INTERNATIONAL MACHINERY,
INTI DAYA MANDIRI PRATAMA,Not Found
INTI POLYMETAL,29300
INTI PRATAMA GLOBALINDO,Not Found
INTIKENCANA WIRAPUTERA,Not Found
IEK SINERGI HAYATI,Not Found
IRKA JAYA ERKON,Not Found
ISTANA KARYA PROPERTINDO,Not Found
IWAMA PRIMA TEXTILE MILLS,13921
JABAPUTRA BINAWAN UNGGUL,Not Found
JAFA PALMA INDONESIA,32909
JAGO SUKSES MAKMUR,Not Found
JAPFA COMFEED INDONESIA Tbk,10801
JASA ANDA,Not Found
JASA PRIMA ADIGUNA,Not Found
JASA PRIMA LOGISTIK BULOG,Not Found
JASAMEDIKA SARANATAMA,Not Found
JASKO PRIMA SEJAHTERA,Not Found
JAVA MONT MINERAL,Not Found
JAWHARA SYARI INDONESIA,Not Found
JAYA ABADI REGENCY,Not Found
JAYA BINANGUN BHASKARA PRIMA,Not Found
JAYA KESUMA LESTARI,Not Found
JAYA MAKMUR PAJAJARAN,Not Found
JAYA MANDIRI BERKAH,Not Found
JEJAK HASANAH,Not Found
JENSSEN NATAMA ABADI,Not Found
JEPARINDO AGUNG PERKASA,Not Found
JUAHN INDONESIA,22293
JULIARTHA JAYA PRATAMA,Not Found
KABEPE CHAKRA,10763
KADEKA,Not Found
KAHADE MITRA SEJATI,Not Found
KAIROS TRANSINDO PERKASA,Not Found
KALOKA BINANGUN,17021
KALYANAMITTA BANINDO,Not Found
KAMPUH WELDING CIKARANG,Not Found
KANAKA SUKSES LESTARI,Not Found
KARAWANG DISTRIBUSINDO RAYA,Not Found
KARINDO MITRA INTERNASIONAL,26490
KARIYANA GITA UTAMA,Not Found
KARTIKA JAYA KONTRUKSINDO,Not Found
KARYA BUSANA INDONESIA,Not Found
KARYA JOUJA GEMILANG,Not Found
KARYA KELOLASEMESTA,
KARYA MANDIRI CIKARANG,Not Found
KARYA MULIA PUSAKA,Not Found
KARYA PANCA PERSADA,Not Found
KARYA PUTRA SANGKURIANG,22192
KARYA SEJAHTERA LESTARI,Not Found
KARYA SUKSES STEEL,Not Found
KARYA UTAMAINDO MANDIRI,Not Found
KAWASAN BERIKAT NUSANTARA,Not Found
KAZTA RAYA CEMERLANG,Not Found
KECE TRANSPORT BANDUNG,Not Found
KEMBANG CHRISTAPHARMA,Not Found
KENCANA JAYA PROPERTI,Not Found
KENDI INDAH LESTARI,Not Found
KERETA API INDONESIA (PERSERO),Not Found
KERETA API LOGISTIK,Not Found
KHARITA SEJAHTERA BERSAMA,Not Found
KIAN SANTANG MULIATAMA,28130
KILAP PROPERTINDO,Not Found
KIM TECHNOLOGY SOLUTIONS,Not Found
KIMIA FARMA APOTEK,Not Found
KINERJA MUTIARA PERSADA,20291
KINOBI INDAH FARMA,Not Found
KIRANA SAKTI KOMPUTINDO,Not Found
KITA MAJU SEJAHTERA,Not Found
KOBAMAS PUROHITA,Not Found
KOPRIMA SANDYSEJAHTERA,Not Found
KREASI PERDANA KONSTRUKSI INDONESIA,Not Found
KREATIF MANDIRI SAKTI,Not Found
KROMATINDOMAS KIMIATAMA,Not Found
KUDA KENCANA,12011
KUJANG SAKTI ANUGRAH,Not Found
KUMAR CONTAINERS PVT LTD,25940
KUSUMASEJATI INTIPRIMA,Not Found
KYG TOOLING INDONESIA,Not Found
LAJU BERSAMA INDAH,Not Found
LASALLEFOOD INDONESIA,10723
LAUTAN ARTHA BAHARI,Not Found
LAUTAN WARNA SARI,20116
LAVANAYA MADINAH TRAVEL,Not Found
LE&EN INDOCHACON UTAMA,13993
LEE FONG INDONESIA,15201
LEMBU JANTAN PERKASA,
LESTARI BINTANG MANDIRI,Not Found
LESTARI DINI TUNGGUL,14111
LEUWILIANG SEGAR PRAKARSA,Not Found
LIMAS JAYA MAKMUR,
LIMAS RAGA INTI,Not Found
LINTAS BENEFINDO JAYA,Not Found
LINTAS CAKRA CIA,Not Found
LINTAS NUSANTARA PERDANA,Not Found
LINTAS TOMINI MANDIRI,
LOKATARA ABHINAYA,Not Found
LORAMO ANUGRAH JAYA,Not Found
LUKITA JAYA PERKASA,Not Found
LUMBUNG SEJAJAR SEJATI,Not Found
LUNAR INDAH MAKMUR,Not Found
MJUSUF & SONS,Not Found
MACHESA MULTI LIFTINDO,28160
MAHA RAYA PERKASA,Not Found
MAHA TIRTA UTAMA,Not Found
MAHANANI MUKTI MULYA,Not Found
MAHKOTA PERMATA PERDANA,Not Found
MAJU JAYA INTERNATIONAL,
MAJU JAYA MAKMUR SEJAHTERA,Not Found
MAJU PUTRA TEKNINDO,Not Found
MAKANAN ASLI INDONESIA,Not Found
MAKMUR EXPEDISI RIANIATE,Not Found
MAKMUR LESTARI EVOLUSI,Not Found
MAKMUR MITRA ABADI,Not Found
MAKMUR PRIMA SENTOSA,Not Found
MAKTAL DISTRIBUSI PRATAMA,Not Found
MANAJEMEN BAHAN BAKAR ANDALAN,Not Found
MANDIRI CIA SEJAHTERA,Not Found
MANDIRI SEJAHTERA TEHNIK,Not Found
MANGUL JAYA,15201
MANOLO PUTRA,Not Found
MANUNGGAL PERKASA,33119
MANVIS TEKNOLOGI ENJINERING,Not Found
MARGA NUSANTARA JAYA,Not Found
MARGASETA UTAMA,Not Found
MARKAINDO SELARAS,Not Found
MARKS BANDUNG JAYA,Not Found
MASPLAST POLY FILM,22291
MASTER ENGINEERING SERVICE,Not Found
MAWAR MOTOR FAYURI,Not Found
MAWAR MOTOR PERKASA,Not Found
MAX CHEM INDONESIA,Not Found
MAX KREASI INDONESIA,Not Found
MAXBIZ ENVIRON,Not Found
MAYA GRAHA INDAH,Not Found
MECCAYA,21012
MEDIKA JASA UTAMA,Not Found
MEDIKA VISINDO PERKASA,Not Found
MEDION ARDHIKA BHAKTI,Not Found
MEGAHPUTRA SEJAHTERA,10740
MEGAKARYA NUSANTARA PERKASA,Not Found
MEGALOPOLIS MANUNGGAL INDUSTRIAL DEVELOPMENT,Not Found
MENGGAPAI CAKRAWALA SEMESTA,Not Found
MEPROFARM,21012
MERAPI UTAMA PHARMA,Not Found
MERPATI ALAM SEMESTA,Not Found
METALINDO GUNA TEKNIK INDUSTRI,Not Found
METRIX ELCIA,Not Found
MIDI UTAMA INDONESIA TBK,Not Found
MIGAS HULU JABAR,Not Found
MIGOTO INDONESIA,25920
MILPO INDONESIA,Not Found
MILPO METALINDO PERKASA,25910
MINERAL UTAMA SERVIS,Not Found
MITRA BANGUN KONTRAKTOR,Not Found
MITRA BISNIS KELUARGA VENTURA,Not Found
MITRA BISNIS MADANI,Not Found
MITRA BUMDES NUSANTARA,Not Found
MITRA BUMI SURYA,Not Found
MITRA ESA ABADI,Not Found
MITRA HAPPI SEJAHTERA,Not Found
MITRA HUSADA MANDIRI,Not Found
MITRA JASA POWER,Not Found
MITRA KALYANA SEJAHTERA,Not Found
MITRA KARAWANG JAYA,Not Found
MITRA KENCANA MANDIRI ENTERTAINMENT,Not Found
MITRA KIMIA MAS,Not Found
MITRA KREATIF INDONESIA,Not Found
MITRA LIMA R,Not Found
MITRA MINA SAN,Not Found
MITRA NIAGA SENTRATAMA,Not Found
MITRA PINASTHIKA MUSTIKA,
MITRA PRIMA ADITAMA,Not Found
MITRA SARANA CIKAMPEK,
MITRA SINERGI PLASINDO,22230
MITRA SOLUSI KIMIATAMA,Not Found
MITRADEKA MANDIRI,Not Found
MITRALAB BUANA,Not Found
MITRATAMA PROSPEK SOLUSINDO,25920
MITSUI LEASING CAPITAL INDONESIA,Not Found
MIZUKI INTERNATIONAL,Not Found
MOSSA KARYA UTAMA,Not Found
MUARA JUARA KREASI INDONESIA,10761
MUARA LOGAM INDONESIA,Not Found
MUDA JAYA ABADI,Not Found
MUFID INTI GLOBAL,Not Found
MUHTOMAS,Not Found
MULIA JAYA BERSINAR,Not Found
MULTI AKSARA SEJATI,Not Found
MULTI GARMENJAYA,14111
MULTI GRASINDO CEMERLANG,20231
MULTI HANNA KREASINDO,24320
MULTI INTI PARAHIYANGAN,Not Found
MULTI MITRA LOGISTIK,Not Found
MULTI SANDANG TAMAJAYA,13121
MULTI SOLUSI SUKSESTAMA,Not Found
MULTINDO TECHNOLOGY UTAMA,25920
MULTINDO VELVET INDUSTRIES,13121
MURATA MACHINERY INDONESIA,
MURNI MOTOR,45407
MURNI SADAR,Not Found
MURNI SUBAJA MAS,Not Found
MUSTIKA CITRA RASA,10710
MUSTIKA KUSUMA JAYA,Not Found
MUSTIKA PARAHYANGAN,Not Found
MUTIARA MAJU MANDIRI,Not Found
MUTIARA PERKASA BAHAGIA,Not Found
NADYA ANGEL SAM,Not Found
NALSAL INDO PERKASA,Not Found
NANDANG AKSARA PRIMA,
NEO CIA REVOLUSI,Not Found
NETWORK LINTAS FIBERINDO,Not Found
NETZER MEDIKA PUTRA,Not Found
NEW MODULE INTERNATIONAL,Not Found
NIKITA MITRA JAYA,Not Found
NIRAMAS UTAMA,10298
NISSIN MANUFACTURING INDONESIA,30912
NITRO PRATAMA INDONESIA,Not Found
NUSANTARA SATRIA AGUNG,Not Found
NUSANTARA SURYA SAKTI,45407
NUSANTARA TECHNIC INDONESIA,Not Found
NUSATAMA BERKAH TBK,Not Found
NUTRINDO PERTAMA,Not Found
OAE MANUFAKTUR INDONESIA,
OCEANICA MEGAH UTAMA,10213
OHM ELECTRONICS INDONESIA,26410
OMEGA ELEKTRIK INDONESIA,Not Found
ONESMILE ALIGNERS INDONESIA,Not Found
OS PUTRA,11051
PACIFIC AREA JAYA,Not Found
PACIFIC MOTOR,Not Found
PADANG GOLF BUKIT SENTUL,Not Found
PADI ARTHA SEJAHTERA,Not Found
PADJADJARAN INDAH PRIMA,Not Found
PADMA SARI PANGAN,Not Found
PALABUHAN RATU DISTRIBUSINDO RAYA,Not Found
PAMOR BUANA UTAMA,Not Found
PANAYA RENTAL CRANE,Not Found
PANDAWA MAKMUR SEJAHTERA,Not Found
PANDITA KAPITAL UTAMA,Not Found
PANDU EQUATOR PRIMA,Not Found
PANFILA INDOSARI,11051
PANGAN SARANA NIAGA,Not Found
PANGESTU DAYA UTAMA,Not Found
PARAMITA BANINDO,Not Found
PARSAORAN GLOBAL DATATRANS,Not Found
PATRA MAKMUR SEJAHTERA,Not Found
PATRA NIAGA RAYA,Not Found
PAYON AURA SEJAHTERA,Not Found
PELANGI NIAGA NUSANTARA,Not Found
PELITA ABADI SEJAHTERA,Not Found
PELITA SAMUDERA INDONESIA,Not Found
PERKASA ABADI MAKMUR,Not Found
PERMATA SINAR UTAMA,Not Found
PERTAMINA BINA MEDIKA IHC,Not Found
PERTAMINA TRAINING & CONSULTING,Not Found
PERTAMINA TRAINING AND CONSULTING,Not Found
PESONA NATASYA GEMILANG,Not Found
PESONA TAMANINDO,Not Found
PIJAR UTAMA GASINDO,Not Found
PILAR ABDI WIJAYA,Not Found
PILAR BAKTI SEJAHTERA,Not Found
PINDAD (PERSERO),Not Found
PINTU SUKSES LESTARI,Not Found
PINTU TIGA RAHARJA,Not Found
PLANET EXCELENCIA PHARMACY,Not Found
POLIWEK INDO UTAMA,Not Found
PPLONDON SUMATERA INDONESIA TBK,Not Found
PRANATA JAYA ABADI,13132
PRATAMA SELARAS MANDIRI,Not Found
PRATAMA SURYA JAYA,Not Found
PRATIWI PUTRI SULUNG,71205
PRESENTOLOGICS,Not Found
PRESTASI CAHAYA METALINDO,Not Found
PRIMA ADJUSTERINDO MANDIRI,Not Found
PRIMA KOMPETENSI,Not Found
PRIMA MEDIKA SELARAS,Not Found
PRIMA NUSANTARA TELEKOMUNIKASI,Not Found
PRIMA SARANA PENJAMINAN,Not Found
PRIMA SENTRAL REJEKI,Not Found
PRIMA ZEN,31004
PRIMAPER TRADEA UTAMA,Not Found
PRIORITAS JAYA ABADI,Not Found
PRISEL GIUGA SINERGI,Not Found
PRO MECHANIC INDONESIA,28221
PRODIA WIDYAHUSADA,
PROLABIOS MITRA ANALITIKA,Not Found
PROSPER MEGA INDUSTRI,Not Found
PURI AVIA,Not Found
PURI LAJU ABBA,Not Found
PURI WIDYA UTAMA,Not Found
PUSTEK ENERGI DAN TEKNOLOGI,Not Found
PUTRA DUA PERKASA,Not Found
PUTRA MERAPI SUKSES,Not Found
PUTRA MUTIARA JAYA,Not Found
PVRA MODA KREASI,Not Found
QUADRA INTI SOLUSI,Not Found
QUANTUM INDOKEMIKA SOLUSI,Not Found
QUANTUMPLAST INDUSTRY,22220
RABU BUDIMAN ABADI,Not Found
RACHMAT PERDANA ADHIMETAL,30912
RADIANT UTAMA INTERINSCO TBK,
RADYA MARGA SENTOSA,Not Found
RAFIQA RASYA RIZKY,Not Found
RAGAM TANGGUH FORTINDO,22210
RAJA MAKMUR PERKASA,Not Found
RAMA MANUNGGAL PERKASA,Not Found
RAMA TEXTIMA INDONESIA,Not Found
RAMATEX,
RANGKUTI EKA PAKSI,Not Found
RAPIK KARYA MANDIRI,Not Found
RATANSHA PURNAMA ABADI,
REAL MITRAS BUANA,Not Found
REGAMAS NUSANTARA INDONESIA,Not Found
REI INDUSTRI PROPERTI,Not Found
REJEKI ASTHA SENTOSA,Not Found
REJEKI GRAHA WIJAYA,Not Found
REMALA ABADI,Not Found
RESTAR SENTRA DIGDAYA,Not Found
REVASS UTAMA MEDIKA,Not Found
RICKY PERSADA FARMA,Not Found
RICO BERLIAN LOGISTINDO,Not Found
RIKEN ENGINEERING PERKASA,Not Found
RIMA SURYA PRATAMA,Not Found
RISMA SENTOSA,45201
RIUNG AGRO LESTARI,Not Found
RIYANA CIA PANGAN INDONESIA,Not Found
RIZKY ABADI JAYA ANUGRAH,Not Found
RIZKY INDRA TRANSINDO,Not Found
RODA KAWAN SEJAHTERA,Not Found
ROHA LAUTAN PEWARNA,20116
ROUDO KITA,Not Found
SAFE SINAR GLOBAL,Not Found
SAHABAT SENTRA ALKESINDO,Not Found
SAINDO MAJU INTERNASIONAL,Not Found
SAJIRA MAHARDIKA,Not Found
SAK LAWASE SELALU SUKSES,Not Found
SAKA ARTHA KENCANA,Not Found
SAM APPAREL MANUFACTURING INDONESIA,Not Found
SAMUDERA PASAI LOGISTIK,Not Found
SANDANG MAJALAYA TEXTILE / SAMATEX,Not Found
SANDANG MAJALAYA TEXTILE (SAMATEX),Not Found
SANTOSA KURNIA JAYA,14111
SARANA ABADI JAYA RAYA,Not Found
SARANA KARUNIA SEJATI,Not Found
SARANA KATIGA NUSANTARA,Not Found
SARANA MEDIKA MEDIATECH,Not Found
SARANA MEDIKAL PRISMA,Not Found
SARANA SADAYA,Not Found
SARANA SUKSES INDONESIA,Not Found
SARANA SUKSES INDOPRIMA,Not Found
SATRIA GRIYA ABADI,Not Found
SATYA SARANA KARGO,Not Found
SAVA JAYA ANUGERAH,Not Found
SEIKOU SEAT COVER,14111
SEJAHTERA BONEKA INDAH,32402
SEKURINDO DUTA UTAMA PERKASA,Not Found
SELALU BERMANFAAT SELAMANYA,10392
SELAMAT LESTARI MANDIRI,Not Found
SELARAS HARAPAN SEMESTA,Not Found
SELATAN MAKMUR INDONESIA,18111
SEMANGAT PUTRATAMA,Not Found
SEMAR GEMILANG,Not Found
SEMESTA MANDIRI SEJAHTERA,Not Found
SEMPURNAINDAH MULTINUSANTARA,
SEMPURNAJAYA MAKMURMULIA,Not Found
SENIUN HADAFA,Not Found
SENTRA AGUNG SEALINDO,Not Found
SENTRAL MANDIRI SENTOSA,Not Found
SENTRYPARK UTAMA INDONESIA,Not Found
SERASI AUTORAYA,
SERPONG ALAM LESTARI,Not Found
SETARA BIO SCIENCE,Not Found
SETIA ANUGERAH MOTOR,Not Found
SETIA BUDI HOJAYA,Not Found
SETIA KIJI REED,28263
SETIA LUMBAN JAYA,Not Found
SGH MAKMUR SANTOSA,Not Found
SHIMADA KARYA INDONESIA,22192
SIDO AGUNG MANDIRI,27310
SIERRA JAYA ABADI,Not Found
SINAR ARTHA MAHAMAKMUR,Not Found
SINAR BARU KONTRUKSI,
SINAR INSPIRASI NEGERI,Not Found
SINAR JAYA RIMBAWAN ASRI,Not Found
SINAR KARYA UTAMA,Not Found
SINAR MITRA ANDALAN,Not Found
SINAR MULIA PLASINDO LESTARI,
SINAR NIAGA SEJAHTERA,Not Found
SINAR PANGJAYA MULIA,
SINAR PARA TARUNA,13911
SINAR PUTRA METALINDO,Not Found
SINAR REJEKI LEMBANG,Not Found
SINAR SEJATI ABADI,Not Found
SINAR TRIYASA TEKNIK,Not Found
SINARDANIT NUSANTARA,Not Found
SINERGI ENGINEERING INDONESIA,Not Found
SINERGI MITRA UTAMA,
SINGAMAS PRATAMA SEJAHTERA,Not Found
SIR AKURASI INDONESIA,Not Found
SISTAR INDONESIA,Not Found
SJI NUSANTARA,Not Found
SKI SUKSES SEJAHTERA,Not Found
SKY ENERGY INDONESIA TBK,Not Found
SMART MULTI FINANCE,Not Found
SOFIA SAFIYA MEDIK,Not Found
SOLO MURNI,18111
SOLUSI PRIMA CARAKA,Not Found
SOLUSI SARANA PROPERTI,Not Found
SOREANG PRAKARSA LESTARI,Not Found
SOWIN GRAMERINDO INTERNASIONAL,Not Found
SRI INTAN TOKI INDUSTRI,23932
SRIBANGUN BUMINITIYA,
STIF INDONESIA,
SUBANG MULYA SEJAHTERA,Not Found
SUGISENA INTI PERSADA,Not Found
SUKABUMI ALAM MANDIRI,Not Found
SUKADAMAI BERKAH ABADI,Not Found
SUKU CADANG JAYA,Not Found
SULFINDO ADIUSAHA,20117
SUMBER ADILUHUNG KAHURIPAN,Not Found
SUMBER ALFARIA TRIJAYA,Not Found
SUMBER ALFARIA TRIJAYA TBK,Not Found
SUMBER ALFARIA TRIJAYA TBK,Not Found
SUMBER ALFARIA TRIJAYA,Not Found
SUMBER ALFARIA TRIJAYATbk,Not Found
SUMBER DAYA MITRAINTI,Not Found
SUMBER MITRAUTAMA PERSADA,22220
SUMBER REJEKIJABAR,Not Found
SUMBER RUKUN PERKASA,Not Found
SUMBER SARANA ERA ABADI,24101
SUMBER SARI BUMI PAKUAN,Not Found
SUMBER SARI PAKUAN,Not Found
SUMBER SINAR PERKASA,Not Found
SUMBER TRIJAYA LESTARI,Not Found
SUN AUTO ACCESORIES,13921
SUN MOTOR JAKARTA,45201
SURYA ANUGERAH SENTOSA,Not Found
SURYA ARTHA CHANYA,Not Found
SURYA GEMILANG TRIDAYA,Not Found
SURYA INTAN SENTANA JAYA,Not Found
SURYANUSA NADICIA,Not Found
SWARNA BAKTI SOLUSINDO,Not Found
SYAWAJA INDONESIA,Not Found
SYGMA DAYA INSANI,Not Found
SYNERGY SCIENTIFIC,Not Found
TRAD INDONESIA,Not Found
TAIFU GOLD INDONESIA,Not Found
TAKINDO MUTUAL,Not Found
TAMBUN DISTRIBUSINDO RAYA,Not Found
TAN PUTRA TAMA,10732
TANGGUH FLUIDA POWERINDO,Not Found
TANI MURNI INDONESIA,Not Found
TATA BANGUN SARANA,Not Found
TATA BUMI PERSADA,Not Found
TATALOGAM LESTARI,25112
TAWAKAL SUMBER CAHAYA,Not Found
TECH LOGISTIK INDONESIA,Not Found
TECNO MESIN INDONESIA,Not Found
TEHNIK PRATAMA ENGINEERING,Not Found
TEKADE MITRA INDONESIA,Not Found
TEKNIK BINA MANDIRI,Not Found
TEMAN SEJATI SEJAHTERA ABADI,Not Found
TENGO INDONESIA,31002
TERA EMCAL SOLUSINDO,Not Found
TERUS JAYA SENTOSA MOTOR,Not Found
TEXALOKA TEMA MANDIRI,Not Found
THURSINA MEDIANA UTAMA,18111
TIARA FAJAR TRANSPORTINDO,Not Found
TIGA FASA KOMPONEN,Not Found
TIGA RODA RENTALINDO,Not Found
TIGA WARNA JAYA INDONESIA,Not Found
TIGAMAS MITRA SELARAS,Not Found
TIGATUJUH CORGAS ESENSIAL,Not Found
TIKKA INDAH SEJAHTERA,Not Found
TIMUR LAUTAN SUKSES,23990
TIRTA TALAGA JAYA,Not Found
TIRTHA DASA LINTAS NUSA,Not Found
TITAN TEKNIKATAMA INDONESIA,28221
TONGCHENG MAGNET WIRE,27320
TOP ADI PERKASA,Not Found
TRAINERS MANAGEMENT INDONESIA,Not Found
TRANS HYBRID COMMUNICATION,Not Found
TRENGGINAS UNGGUL ABADI,Not Found
TRI BUMI PERTIWI,Not Found
TRI EKA KREASI MODA,Not Found
TRI KARYA SELARAS MANDIRI,Not Found
TRIAJI MANDIRI TEKNIKA,Not Found
TRIANA HARVESTINDO NUSANTARA,13132
TRIANA NUR PANJALU,Not Found
TRIDAYA MANDIRI TEHNIK,Not Found
TRIDAYA RESIK PERKASA,Not Found
TRIDAYA SINERGI INDONESIA,Not Found
TRIDHARMA POLAKARSA,20231
TRIKEM TIRTA BENING PERKASA,
TRIMANDIRI PLASINDO,22299
TRIO MOTOR,45201
TRIPOLA PANATA,Not Found
TRISAKA SINERGI UTAMA,Not Found
TRITUNGGAL POWERINDO UTAMA,Not Found
TRIVETSA LANCAR ABADI,Not Found
TUGU MUDA PRIMA,Not Found
TUJUH COSME INDONESIA,Not Found
TULIP PROMO KARYA,Not Found
TUNAS BARU SURYA PERKASA,Not Found
TUNAS DWIPA MATRA,45407
TUNAS JAYA RAYA ABADI,Not Found
TUTU KEKAL,Not Found
TYOTECH MANDIRI JAYA,Not Found
UBER SINAR DEWATA,
UNIE SARANA MANDIRI,Not Found
UNITED CHEMICALS INTER ANEKA,Not Found
UNITED REFRIGERATION,Not Found
UPAYABUMI GRAHASEJAHTERA,Not Found
USAHA TANGGUH MANDIRI,Not Found
USRA TAMPI INDONESIA,22293
V TWO CONSULTING,Not Found
VANADYA ANUGERAH PRATAMA,Not Found
VARION SUKSES MAKMUR,Not Found
VIRCHO JAYA ABADI,Not Found
VIRGI MOTOR CIKARANG,Not Found
WAHANA LOGISTIK SEMESTA,Not Found
WAHANA MAKMUR SAKTI,Not Found
WAHANA MAKMUR SEJATI,Not Found
WAHANA REKSA CEMERLANG,Not Found
WALDEN GLOBAL SERVICE,Not Found
WANANTARA ALESHA SADHANA,Not Found
WASKHITA ADI SEJAHTERA,28199
WASKITA MULTITRADA JAYA,Not Found
WASTU KENCANA,10431
WIDAL KREASI WISESA,Not Found
WIENNEXINDO SOLUTION,Not Found
WILDANES KERTAJAYA INDONESIA,Not Found
WIN DISTRIBUSI NUSANTARA,Not Found
WIRA AGUNG,16221
WIRA KARYA JAYA,Not Found
YAKULT INDONESIA PERSADA,10590
YAMA EKSPRES,Not Found
YAS TRANS SARELINDO,Not Found
YAZUHO AUTO,22192
